,yr_built,sqft_lot,sqft_lot15,sqft_living
0,0.4782608695652174,0.0031075107869392472,0.0057423533884939275,0.06716981132075471
1,0.4434782608695652,0.0040718689102934936,0.008027118519463005,0.1720754716981132
2,0.28695652173913044,0.005742534553642118,0.008513018796184936,0.036226415094339624
3,0.5652173913043478,0.0027137716034089333,0.004995698116935405,0.12603773584905661
4,0.7565217391304347,0.004579489580752575,0.007870895262644607,0.10490566037735849
5,0.8782608695652174,0.06142937015662945,0.11633922961257781,0.38716981132075473
6,0.8260869565217391,0.003815635564703766,0.007085184176881485,0.10754716981132076
7,0.5478260869565217,0.00556747205511864,0.010407225785108018,0.05811320754716981
8,0.5217391304347826,0.004209980500824126,0.008571602517491835,0.11245283018867924
9,0.8956521739130435,0.003658745643881687,0.007947858190636025,0.12075471698113208
10,0.5652173913043478,0.005618961025272604,0.009504347256731098,0.2467924528301887
11,0.3652173913043478,0.00331952419345557,0.006144398534717747,0.06566037735849056
12,0.23478260869565218,0.01174009094769387,0.01383724523260609,0.0860377358490566
13,0.6695652173913044,0.005548693724827194,0.010978129892745842,0.08150943396226415
14,0.0,0.0026229087149019377,0.004823393054268054,0.11471698113207547
15,0.6869565217391305,0.0027137716034089333,0.003846997699153063,0.20075471698113206
16,0.8173913043478261,0.00818977501743053,0.015354678484496564,0.12075471698113208
17,0.1391304347826087,0.0022897447903762877,0.004191607824487765,0.09886792452830188
18,0.1826086956521739,0.005651671665135122,0.005104824656624728,0.06867924528301887
19,0.6,0.005605634468291578,0.009418194725397422,0.07245283018867925
20,0.40869565217391307,0.0027016565516080004,0.0049727241085797584,0.10037735849056603
21,0.591304347826087,0.026863310110798205,0.022612167724045402,0.20830188679245282
22,0.8260869565217391,0.003501249970469561,0.007298842454589001,0.14943396226415095
23,0.7391304347826086,0.005526280878995468,0.008885197731546415,0.05886792452830188
24,0.7391304347826086,0.0036224004884788884,0.007138024396099473,0.1630188679245283
25,0.3565217391304348,0.0025302285686248024,0.0046568314936896145,0.10716981132075472
26,0.13043478260869565,0.0013150888729912488,0.0033565026207600032,0.1630188679245283
27,0.0782608695652174,0.0006427034980394817,0.003687328341081318,0.08377358490566038
28,0.41739130434782606,0.003549710177673292,0.006414343132896598,0.09283018867924528
29,0.9130434782608695,0.004030071981580275,0.006174264745580088,0.1720754716981132
30,0.8956521739130435,0.0020959039615613636,0.0038240236907974164,0.15320754716981133
31,0.9130434782608695,0.0004512856795847445,0.001269313961649488,0.06792452830188679
32,0.25217391304347825,0.0027137716034089333,0.004995698116935405,0.15396226415094338
33,0.25217391304347825,0.0015022664233156596,0.0050875941503579925,0.06037735849056604
34,0.7043478260869566,0.003718715150296304,0.009268863671085717,0.13358490566037737
